Emp ID,Age in Yrs.,Weight in Kgs.,Age in Company (Years),Salary,Sales,State
111118,39.63,56,17.02,184597,535331.3,PA
111119,36.3,42,1.82,162331,454526.8,NY
111120,46.11,52,5.68,159655,431068.5,MS
111126,31.15,56,2.17,84832,144214.4,MI
111127,21.61,59,0.45,74734,97154.2,VA
111131,58.55,64,15.32,135575,298265,KS
111132,43.99,70,19.36,120731,313900.6,NE
111135,39.81,88,18.58,196416,353548.8,FL
111138,54.49,63,22.22,168799,253198.5,TX
111141,24.15,66,0.12,190460,419012,CA
111143,53.12,76,3.19,108819,119700.9,CO
111145,57.11,53,21.24,175011,525033,KY
111146,58.3,87,2,152746,229119,MO
111147,41.81,74,10.45,191926,479815,TX
111149,55.08,60,32.85,186575,93287.5,TN
111151,44.31,53,1.43,70500,42300,PA
111153,36.16,90,14.82,52981,74173.4,MD
111154,51.85,57,22.32,141439,410173.1,NE
111157,35.88,42,3.72,163099,375127.7,AL
111158,26.56,56,1.28,61869,74242.8,WA
111159,51.11,55,25.98,184760,221712,TX
111160,57.61,81,35.59,189506,322160.2,MN
111163,26.04,45,0.68,149722,74861,OK
111164,38.25,77,10.8,132202,105761.6,ID
111166,24.48,45,0.21,171382,325625.8,TX
111167,47.49,63,18.24,188297,301275.2,CA
111168,23.43,65,1.31,173453,520359,MA
111170,32.36,45,4.37,84390,210975,NM
111171,21.42,50,0.42,76969,130847.3,MA
111173,35.79,77,1.65,155329,217460.6,FL
111175,31.35,57,4.86,149978,374945,TX
111178,56.25,57,29.25,164217,131373.6,UT
111181,51.58,71,27.95,144022,244837.4,NY
111182,43.39,42,12.82,163612,163612,MO
111183,46.31,42,3.62,69803,118665.1,PA
111184,28.82,57,2.41,108983,87186.4,NY
111185,43.72,43,16.73,177851,533553,TX
111188,43.66,66,0.14,177246,159521.4,MN
111192,23.36,82,0.95,134785,188699,ID
111193,57.48,77,34.18,139532,390689.6,WI
111194,45.05,75,12.32,178712,500393.6,UT
111195,50.36,41,22.79,99747,99747,MO
111197,55,49,12.21,40371,44408.1,AL
111200,24.47,65,1.41,138322,304308.4,OK
111202,51.61,74,9.83,140393,421179,CA
111203,37.02,53,3.35,61427,110568.6,NM
111204,32.92,73,6.07,66174,66174,IN
111206,40.27,60,17.22,68244,156961.2,PA
111207,33.9,40,3.68,80413,80413,KS
111208,51.41,42,17.04,134437,362979.9,KS
111209,38.83,45,3.04,55471,72112.3,GA
111211,35.85,41,5.15,72386,50670.2,FL
111213,32.38,58,11.08,40023,92052.9,MD
