,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Owns_House,Property_Area,Loan_Status,Has_CreditCard
1,Other,Yes,2,Graduate,No,59779,46697,403,300,0,Semiurban,N,Yes
2,Male,No,1,Graduate,No,38662,41547,299,120,0,Semiurban,N,Yes
3,Other,No,0,Graduate,No,39185,17924,428,240,1,Urban,N,Yes
4,Other,No,2,Graduate,No,10810,41753,194,180,0,Semiurban,N,Yes
5,Male,Yes,3,Not Graduate,No,54042,28492,674,120,1,Rural,Y,Yes
6,Male,No,1,Graduate,Yes,37883,46315,538,120,0,Rural,N,Yes
7,Other,No,0,Graduate,No,42349,32066,141,60,0,Urban,N,Yes
8,Female,No,3,Not Graduate,No,55215,22047,230,120,0,Urban,N,Yes
9,Other,No,0,Not Graduate,Yes,41419,6320,177,360,0,Urban,N,Yes
10,Other,No,1,Not Graduate,Yes,70342,49270,327,360,1,Urban,Y,Yes
12,Other,No,2,Not Graduate,No,27871,14700,308,360,0,Semiurban,N,Yes
14,Other,No,1,Not Graduate,No,51991,14284,624,60,1,Semiurban,Y,Yes
15,Female,No,2,Graduate,Yes,50136,28993,533,300,1,Urban,Y,Yes
16,Male,No,0,Graduate,Yes,74029,14868,351,180,1,Urban,Y,Yes
17,Female,Yes,0,Not Graduate,Yes,35548,11489,261,180,0,Urban,N,Yes
18,Female,Yes,2,Graduate,No,7650,17673,537,120,1,Urban,N,Yes
19,Female,Yes,3,Graduate,Yes,60278,32991,533,240,0,Semiurban,Y,Yes
20,Female,No,3,Graduate,No,47835,12859,697,360,0,Rural,N,Yes
21,Male,No,2,Graduate,Yes,19225,11015,600,240,1,Rural,Y,Yes
22,Male,Yes,0,Not Graduate,No,48360,43974,512,120,0,Semiurban,Y,Yes
23,Female,Yes,3,Not Graduate,No,69328,38447,399,240,0,Urban,N,Yes
24,Female,No,2,Not Graduate,Yes,56343,19024,352,120,0,Semiurban,N,Yes
25,Male,Yes,1,Graduate,Yes,67008,13096,467,360,0,Semiurban,Y,Yes
26,Male,No,0,Not Graduate,No,60573,25562,117,360,1,Rural,Y,Yes
27,Male,Yes,1,Not Graduate,Yes,54932,14202,106,180,0,Semiurban,N,Yes
28,Other,Yes,0,Graduate,No,23881,1023,519,240,1,Urban,Y,Yes
29,Other,Yes,3,Not Graduate,No,36557,25848,202,240,1,Semiurban,N,Yes
30,Other,No,1,Not Graduate,Yes,72730,1779,250,240,0,Rural,N,Yes
31,Female,No,1,Not Graduate,Yes,64324,44890,648,240,0,Rural,N,Yes
32,Other,Yes,2,Graduate,No,23841,48548,88,60,1,Rural,Y,Yes
33,Female,No,3,Not Graduate,No,16475,10426,561,300,1,Semiurban,N,Yes
34,Female,No,3,Not Graduate,No,9671,12536,297,180,0,Urban,N,Yes
35,Other,No,0,Not Graduate,No,63584,11351,163,180,1,Urban,Y,Yes
36,Female,No,2,Graduate,No,34764,3983,427,300,0,Urban,N,Yes
37,Other,Yes,2,Graduate,No,56787,46873,184,60,1,Rural,Y,Yes
38,Other,No,0,Not Graduate,Yes,8961,41983,172,240,1,Rural,N,Yes
39,Male,No,1,Not Graduate,Yes,58890,14581,644,300,0,Rural,N,Yes
40,Other,Yes,0,Not Graduate,Yes,66884,48030,262,60,1,Urban,Y,Yes
41,Male,No,0,Graduate,No,8155,15770,551,240,1,Rural,Y,Yes
42,Other,No,0,Graduate,No,68768,7385,224,300,1,Rural,Y,Yes
43,Other,No,2,Not Graduate,Yes,63851,22542,324,180,0,Semiurban,Y,Yes
44,Male,Yes,0,Not Graduate,Yes,12221,20223,285,300,0,Rural,N,Yes
46,Other,No,0,Graduate,No,5711,35504,220,120,1,Urban,Y,Yes
47,Female,No,3,Not Graduate,No,15531,19158,469,240,1,Urban,Y,Yes
48,Male,Yes,1,Graduate,No,13480,25067,586,300,0,Semiurban,N,Yes
49,Female,Yes,1,Not Graduate,Yes,43708,10051,146,240,1,Urban,N,Yes
50,Female,Yes,1,Not Graduate,Yes,15191,26865,70,360,0,Urban,N,Yes
51,Female,No,1,Graduate,Yes,62949,25167,339,240,1,Rural,Y,Yes
52,Male,No,2,Not Graduate,No,70658,35502,671,300,0,Semiurban,N,Yes
53,Female,Yes,2,Not Graduate,Yes,50197,32570,131,240,0,Rural,N,Yes
54,Male,No,0,Not Graduate,Yes,74190,1492,156,60,0,Rural,N,Yes
55,Female,No,2,Not Graduate,No,69708,41907,335,120,1,Semiurban,Y,Yes
56,Other,No,1,Not Graduate,No,10317,26151,670,120,0,Urban,Y,Yes
57,Other,No,3,Not Graduate,Yes,59896,682,599,300,1,Semiurban,Y,Yes
58,Male,No,0,Not Graduate,No,3159,25204,380,300,1,Rural,Y,Yes
59,Other,No,0,Graduate,Yes,60115,20866,181,240,1,Semiurban,Y,Yes
60,Other,No,1,Graduate,No,70665,46662,388,180,1,Urban,Y,Yes
61,Female,Yes,1,Not Graduate,No,22462,21131,270,120,0,Semiurban,Y,Yes
62,Male,Yes,1,Graduate,No,5917,44714,126,120,0,Rural,N,Yes
63,Female,Yes,2,Not Graduate,No,22397,32868,654,360,0,Rural,N,Yes
64,Female,Yes,0,Not Graduate,No,29125,1093,641,360,0,Rural,N,Yes
65,Female,Yes,1,Graduate,No,74862,13485,99,180,1,Rural,N,Yes
66,Female,Yes,3,Not Graduate,Yes,63729,10683,392,120,0,Urban,N,Yes
67,Female,Yes,0,Not Graduate,Yes,50277,20156,381,300,0,Semiurban,N,Yes
68,Female,Yes,0,Graduate,Yes,17349,41392,343,120,1,Semiurban,N,Yes
69,Female,Yes,2,Graduate,No,63715,5334,201,300,1,Semiurban,Y,Yes
70,Male,No,0,Graduate,No,37728,33304,144,300,1,Urban,Y,Yes
71,Other,No,1,Graduate,Yes,33792,49752,430,180,1,Semiurban,N,Yes
72,Female,Yes,1,Graduate,Yes,10902,42626,489,120,1,Semiurban,Y,Yes
73,Female,No,3,Graduate,Yes,38158,35523,370,240,0,Urban,N,Yes
74,Female,No,0,Not Graduate,No,6917,8510,139,120,1,Rural,Y,Yes
75,Female,Yes,0,Graduate,Yes,15620,15645,578,120,0,Rural,Y,Yes
76,Female,Yes,2,Graduate,Yes,27691,23900,332,60,1,Urban,Y,Yes
77,Female,Yes,1,Not Graduate,Yes,73734,31107,394,360,0,Urban,Y,Yes
79,Other,No,1,Graduate,No,25386,44692,401,240,0,Urban,N,Yes
80,Female,Yes,0,Not Graduate,Yes,14271,34295,482,240,0,Semiurban,Y,Yes
81,Other,No,0,Not Graduate,Yes,24526,24646,363,240,1,Semiurban,Y,Yes
82,Male,No,3,Not Graduate,No,46798,443,429,300,1,Urban,Y,Yes
83,Female,No,0,Not Graduate,No,28257,48417,306,180,0,Rural,N,Yes
84,Male,Yes,3,Not Graduate,No,60985,41346,446,360,1,Semiurban,Y,Yes
85,Male,No,3,Not Graduate,No,56130,5674,306,300,1,Rural,Y,Yes
86,Female,No,1,Not Graduate,No,29645,37963,208,240,0,Semiurban,N,Yes
87,Other,No,3,Graduate,Yes,27189,1869,252,300,0,Rural,N,Yes
88,Male,No,0,Not Graduate,Yes,10375,42971,462,300,1,Urban,N,Yes
91,Male,No,0,Not Graduate,Yes,61524,44311,74,240,1,Semiurban,Y,Yes
92,Male,Yes,2,Graduate,No,32717,16663,67,360,1,Urban,Y,Yes
93,Male,Yes,2,Not Graduate,No,66238,770,546,180,1,Urban,Y,Yes
94,Other,No,3,Not Graduate,Yes,7819,21946,165,120,1,Rural,Y,Yes
95,Male,Yes,2,Graduate,No,59784,29000,198,120,1,Rural,Y,Yes
96,Male,No,2,Not Graduate,Yes,72836,1559,375,60,1,Rural,Y,Yes
97,Male,No,2,Not Graduate,No,49935,27073,70,120,1,Semiurban,Y,Yes
98,Other,No,1,Graduate,Yes,51429,44327,655,360,1,Rural,Y,Yes
99,Male,Yes,0,Graduate,No,6998,28123,197,300,1,Rural,Y,Yes
100,Male,No,3,Not Graduate,No,44750,6982,687,240,0,Semiurban,N,Yes
101,Other,No,2,Graduate,No,8180,18824,682,180,0,Rural,Y,Yes
102,Other,Yes,0,Not Graduate,Yes,51123,32876,689,120,0,Semiurban,N,Yes
103,Other,Yes,2,Not Graduate,No,20879,9147,495,60,1,Semiurban,Y,Yes
105,Other,Yes,1,Graduate,No,17316,19744,374,180,0,Rural,N,Yes
106,Other,Yes,2,Graduate,Yes,27525,19873,249,240,1,Rural,Y,Yes
107,Male,No,2,Graduate,No,8378,317,197,60,1,Urban,Y,Yes
108,Other,No,2,Not Graduate,Yes,51669,33108,416,360,0,Rural,N,Yes
109,Male,No,1,Graduate,No,5577,46396,270,240,1,Urban,Y,Yes
110,Female,Yes,1,Graduate,No,24690,37212,277,60,1,Semiurban,N,Yes
111,Other,Yes,0,Not Graduate,No,61514,18458,355,360,0,Semiurban,N,Yes
112,Female,Yes,3,Not Graduate,Yes,63962,45456,228,60,1,Rural,Y,Yes
113,Male,No,3,Not Graduate,No,72195,15296,525,300,0,Rural,N,Yes
114,Other,Yes,1,Not Graduate,No,21953,22062,466,180,0,Rural,N,Yes
116,Female,No,2,Not Graduate,Yes,44229,43350,677,180,1,Semiurban,Y,Yes
117,Male,No,0,Not Graduate,No,45599,12180,172,240,0,Urban,N,Yes
118,Other,No,1,Not Graduate,Yes,40985,45959,334,60,0,Rural,N,Yes
119,Other,Yes,1,Not Graduate,Yes,16537,13384,52,60,1,Urban,Y,Yes
120,Female,No,3,Graduate,No,45717,44153,311,360,0,Semiurban,N,Yes
121,Male,Yes,2,Graduate,No,12027,12128,520,300,1,Rural,Y,Yes
122,Other,Yes,0,Not Graduate,Yes,5536,12473,381,300,0,Urban,N,Yes
123,Female,No,3,Graduate,Yes,5525,39747,310,360,1,Semiurban,Y,Yes
124,Other,No,1,Not Graduate,No,12176,2366,52,360,0,Rural,N,Yes
125,Other,No,1,Not Graduate,Yes,73423,27578,496,360,1,Rural,Y,Yes
126,Male,No,3,Not Graduate,Yes,73013,45649,265,300,1,Rural,Y,Yes
127,Other,No,2,Not Graduate,No,20755,15327,528,180,1,Rural,N,Yes
129,Other,Yes,0,Graduate,Yes,62843,36472,644,60,1,Urban,Y,Yes
130,Female,Yes,0,Not Graduate,Yes,55513,26976,489,60,0,Rural,N,Yes
131,Other,No,0,Graduate,No,74640,36969,249,300,0,Rural,N,Yes
132,Male,Yes,2,Graduate,Yes,23693,45473,328,120,1,Urban,Y,Yes
133,Male,No,1,Not Graduate,Yes,60908,12209,184,240,1,Urban,Y,Yes
134,Female,No,1,Not Graduate,No,15726,12929,343,300,0,Rural,N,Yes
135,Other,Yes,0,Graduate,Yes,9898,10444,254,120,0,Rural,Y,Yes
136,Other,Yes,0,Graduate,Yes,47945,8756,134,240,0,Urban,N,Yes
137,Female,No,0,Not Graduate,Yes,48684,3453,342,180,0,Urban,N,Yes
138,Other,Yes,3,Not Graduate,Yes,47874,48424,439,360,1,Urban,Y,Yes
139,Other,No,3,Graduate,No,72878,42262,187,60,0,Urban,N,Yes
140,Male,Yes,1,Not Graduate,Yes,51008,47292,460,240,1,Rural,Y,Yes
141,Other,Yes,1,Not Graduate,Yes,18265,26326,558,60,1,Urban,N,Yes
142,Other,Yes,0,Not Graduate,No,37404,24001,267,360,0,Rural,N,Yes
143,Female,Yes,3,Graduate,Yes,14104,33025,667,120,0,Urban,N,Yes
144,Female,Yes,2,Graduate,Yes,29048,14788,106,60,0,Urban,Y,Yes
145,Male,No,3,Not Graduate,No,20628,1046,141,300,0,Semiurban,N,Yes
146,Other,Yes,1,Graduate,Yes,16268,6646,419,300,0,Semiurban,Y,Yes
147,Other,Yes,3,Not Graduate,Yes,67734,28160,620,360,0,Semiurban,Y,Yes
148,Other,Yes,1,Graduate,Yes,13704,26287,461,240,1,Urban,N,Yes
149,Male,No,0,Graduate,Yes,73050,16432,242,240,1,Semiurban,Y,Yes
150,Male,No,2,Graduate,Yes,27834,24743,166,60,0,Semiurban,N,Yes
151,Female,No,0,Not Graduate,Yes,51308,34621,324,120,0,Rural,N,Yes
152,Male,No,0,Not Graduate,Yes,63737,44814,402,300,0,Semiurban,N,Yes
153,Other,No,2,Not Graduate,No,64122,20125,495,360,0,Semiurban,N,Yes
154,Other,Yes,2,Graduate,No,41383,34836,85,180,0,Rural,N,Yes
155,Male,Yes,2,Not Graduate,No,53420,46184,673,60,1,Urban,N,Yes
156,Other,Yes,1,Not Graduate,Yes,17840,40225,246,300,1,Semiurban,N,Yes
157,Other,No,0,Not Graduate,No,27771,5823,339,300,1,Rural,Y,Yes
158,Male,No,1,Not Graduate,No,31733,26025,535,120,0,Rural,N,Yes
159,Male,Yes,2,Graduate,No,22480,32996,460,300,0,Semiurban,N,Yes
160,Other,No,1,Not Graduate,No,19945,36020,472,120,0,Rural,N,Yes
161,Other,No,2,Not Graduate,Yes,14641,33119,288,120,1,Semiurban,N,Yes
162,Other,No,3,Graduate,Yes,18232,35040,347,180,0,Urban,N,Yes
163,Female,Yes,2,Not Graduate,Yes,47326,20421,91,60,0,Semiurban,N,Yes
164,Female,Yes,0,Graduate,No,46851,24809,137,240,1,Urban,Y,Yes
165,Female,No,0,Graduate,Yes,27615,17241,225,300,0,Rural,N,Yes
166,Male,No,0,Graduate,No,26255,47417,327,120,1,Rural,N,Yes
167,Female,No,1,Not Graduate,Yes,33709,9068,392,120,1,Urban,Y,Yes
168,Male,No,0,Graduate,Yes,59173,26834,346,240,0,Semiurban,Y,Yes
171,Female,Yes,0,Not Graduate,Yes,45089,13699,465,300,1,Rural,Y,Yes
172,Female,Yes,1,Graduate,Yes,48832,3324,82,60,1,Rural,Y,Yes
173,Other,Yes,3,Graduate,Yes,9822,43911,77,300,1,Urban,N,Yes
174,Female,No,0,Graduate,No,23893,39029,258,60,0,Semiurban,N,Yes
175,Other,Yes,0,Not Graduate,No,17251,21335,651,300,1,Rural,N,Yes
176,Male,Yes,3,Graduate,No,46145,26832,643,240,0,Rural,Y,Yes
177,Other,No,0,Graduate,No,74215,1432,297,300,1,Rural,Y,Yes
178,Female,No,1,Not Graduate,Yes,54837,480,427,60,1,Urban,Y,Yes
179,Male,No,2,Not Graduate,No,42380,2970,407,300,1,Rural,Y,Yes
180,Male,Yes,2,Not Graduate,No,24205,34433,67,300,0,Urban,N,Yes
181,Male,No,3,Graduate,No,59959,49480,262,240,0,Urban,N,Yes
182,Other,Yes,2,Graduate,Yes,69948,14265,563,360,1,Urban,Y,Yes
183,Female,Yes,0,Graduate,Yes,70785,8608,143,360,0,Semiurban,N,Yes
184,Male,No,0,Graduate,No,70775,7250,66,300,0,Semiurban,N,Yes
185,Male,Yes,1,Not Graduate,No,56354,944,288,360,0,Rural,N,Yes
186,Male,Yes,2,Graduate,Yes,32028,34820,577,300,1,Semiurban,Y,Yes
187,Other,Yes,3,Not Graduate,Yes,67082,10542,226,240,1,Semiurban,Y,Yes
188,Other,Yes,0,Graduate,No,62892,7703,180,300,0,Rural,N,Yes
189,Female,No,3,Graduate,Yes,17803,26232,347,180,1,Urban,N,Yes
190,Other,Yes,0,Graduate,No,18653,34219,112,120,0,Urban,Y,Yes
191,Male,No,0,Not Graduate,Yes,23674,11203,179,240,1,Rural,N,Yes
192,Female,Yes,1,Not Graduate,No,45345,43743,412,60,0,Rural,N,Yes
193,Male,Yes,2,Not Graduate,No,42920,40686,665,180,0,Semiurban,N,Yes
194,Male,No,1,Not Graduate,No,35614,29922,319,180,1,Urban,N,Yes
195,Other,Yes,2,Graduate,No,21968,13965,317,120,0,Semiurban,Y,Yes
196,Female,Yes,3,Graduate,Yes,57850,20387,549,180,0,Urban,N,Yes
197,Other,Yes,2,Graduate,Yes,65148,34354,589,120,0,Urban,N,Yes
198,Other,Yes,3,Graduate,No,63661,49541,536,300,0,Semiurban,N,Yes
199,Female,Yes,0,Graduate,Yes,20191,3728,266,240,0,Urban,N,Yes
200,Male,Yes,3,Not Graduate,No,62610,24391,406,240,0,Urban,N,Yes
201,Male,No,3,Not Graduate,Yes,48252,25394,695,240,1,Urban,N,Yes
202,Female,No,0,Graduate,No,15093,12299,335,120,1,Semiurban,Y,Yes
203,Male,No,3,Graduate,Yes,29025,6480,528,120,1,Semiurban,N,Yes
204,Female,Yes,3,Graduate,Yes,37336,28530,595,180,0,Rural,N,Yes
205,Female,Yes,0,Graduate,Yes,28436,47232,461,240,1,Urban,N,Yes
206,Other,Yes,0,Not Graduate,Yes,45690,4106,380,180,0,Urban,N,Yes
207,Female,No,0,Graduate,No,73440,41449,498,300,0,Urban,N,Yes
208,Other,Yes,2,Graduate,No,31094,18703,76,180,0,Semiurban,N,Yes
209,Male,No,0,Graduate,Yes,66399,32100,161,240,1,Urban,Y,Yes
210,Male,Yes,0,Graduate,Yes,7509,11120,541,120,0,Semiurban,N,Yes
211,Male,Yes,3,Not Graduate,Yes,73062,44123,186,180,1,Semiurban,Y,Yes
212,Male,Yes,1,Graduate,Yes,41677,38920,587,180,0,Semiurban,N,Yes
213,Other,No,1,Not Graduate,No,57501,19318,311,120,1,Semiurban,Y,Yes
214,Male,Yes,2,Not Graduate,Yes,38935,25722,696,120,0,Rural,N,Yes
215,Female,No,2,Graduate,Yes,70050,31000,571,240,0,Semiurban,N,Yes
216,Female,Yes,1,Graduate,Yes,20795,2505,348,300,1,Rural,Y,Yes
217,Female,Yes,1,Graduate,Yes,43492,23463,159,60,0,Semiurban,Y,Yes
219,Male,Yes,3,Graduate,Yes,54910,7798,528,180,1,Urban,Y,Yes
220,Male,Yes,0,Not Graduate,Yes,12304,24253,673,240,0,Semiurban,N,Yes
221,Male,Yes,2,Not Graduate,Yes,62289,39702,662,240,1,Urban,Y,Yes
222,Other,Yes,1,Not Graduate,No,7808,9003,316,120,1,Semiurban,N,Yes
223,Female,No,2,Not Graduate,Yes,34897,16439,262,300,0,Rural,N,Yes
224,Female,No,0,Not Graduate,Yes,7907,8899,358,60,0,Rural,N,Yes
225,Male,Yes,2,Graduate,Yes,71761,14714,103,300,1,Rural,N,Yes
226,Female,Yes,2,Graduate,Yes,4014,15861,444,240,0,Semiurban,Y,Yes
227,Female,No,3,Not Graduate,No,70557,20502,561,120,0,Urban,Y,Yes
228,Other,Yes,2,Graduate,Yes,54828,28424,374,120,0,Semiurban,Y,Yes
229,Other,No,0,Graduate,No,61884,29700,145,180,0,Urban,N,Yes
230,Other,Yes,3,Not Graduate,No,71120,13059,223,360,1,Rural,Y,Yes
231,Other,No,2,Not Graduate,No,7942,36257,393,180,0,Urban,N,Yes
232,Male,No,0,Not Graduate,No,65681,20710,254,60,0,Rural,N,Yes
233,Other,No,1,Graduate,Yes,10370,42360,104,180,1,Urban,N,Yes
234,Female,No,3,Not Graduate,No,47132,15201,275,180,1,Urban,Y,Yes
235,Male,Yes,2,Not Graduate,No,16672,17577,356,360,1,Urban,N,Yes
236,Female,Yes,2,Graduate,Yes,55934,4994,330,120,1,Rural,Y,Yes
237,Female,No,3,Graduate,No,59209,7506,666,120,1,Rural,Y,Yes
238,Female,No,0,Not Graduate,No,11467,1497,351,300,1,Rural,N,Yes
239,Other,No,2,Graduate,No,29935,9442,254,300,1,Rural,N,Yes
241,Male,Yes,3,Graduate,Yes,65230,44510,477,60,0,Rural,N,Yes
242,Male,No,2,Not Graduate,No,14551,26154,190,240,0,Semiurban,N,Yes
243,Other,No,1,Graduate,Yes,57924,8666,504,240,0,Urban,N,Yes
244,Female,No,1,Graduate,Yes,51652,31652,194,300,0,Semiurban,N,Yes
245,Male,No,1,Graduate,Yes,45384,21515,575,300,1,Rural,N,Yes
246,Other,No,3,Not Graduate,No,57488,20432,207,180,1,Urban,Y,Yes
247,Other,No,2,Not Graduate,No,51597,39695,154,120,1,Rural,Y,Yes
248,Other,No,3,Not Graduate,Yes,56274,15421,338,300,0,Urban,N,Yes
250,Other,No,1,Graduate,Yes,71005,41230,234,180,1,Rural,Y,Yes
251,Other,No,1,Graduate,Yes,50604,23065,266,360,0,Rural,N,Yes
252,Other,No,0,Not Graduate,Yes,42819,30252,80,360,0,Urban,N,Yes
253,Other,Yes,3,Graduate,Yes,12782,38785,328,120,1,Semiurban,Y,Yes
254,Male,Yes,3,Not Graduate,No,33398,7005,524,360,0,Urban,Y,Yes
255,Male,Yes,0,Not Graduate,No,56532,46877,274,360,0,Rural,N,Yes
256,Other,No,1,Not Graduate,No,28688,31811,226,60,0,Rural,N,Yes
257,Female,No,1,Not Graduate,Yes,28644,37225,133,360,1,Semiurban,Y,Yes
258,Male,No,3,Not Graduate,No,43433,32351,617,360,1,Semiurban,Y,Yes
260,Male,No,1,Graduate,Yes,53966,9186,57,180,1,Urban,Y,Yes
261,Male,Yes,0,Graduate,No,6907,49920,623,120,0,Semiurban,Y,Yes
262,Female,Yes,0,Graduate,Yes,39499,46098,103,120,1,Urban,Y,No
263,Other,Yes,0,Graduate,No,11273,25120,212,60,0,Rural,N,Yes
264,Other,Yes,3,Graduate,No,65419,5074,680,360,0,Urban,N,Yes
265,Female,Yes,3,Not Graduate,No,47666,9123,528,240,1,Urban,Y,Yes
266,Female,No,3,Graduate,Yes,16478,24666,157,360,0,Semiurban,Y,Yes
267,Other,No,3,Not Graduate,Yes,11273,47066,320,360,1,Rural,N,Yes
268,Other,Yes,0,Not Graduate,Yes,52245,20717,675,60,1,Urban,Y,Yes
269,Female,No,0,Not Graduate,No,49400,47565,286,120,0,Urban,Y,Yes
270,Male,No,3,Not Graduate,Yes,42708,39959,310,300,1,Rural,Y,Yes
271,Male,Yes,3,Not Graduate,No,35552,40316,578,120,0,Rural,N,Yes
272,Female,Yes,0,Graduate,Yes,54560,19352,653,180,1,Rural,Y,Yes
273,Male,No,3,Graduate,No,29430,31626,678,120,1,Urban,N,Yes
274,Female,No,3,Graduate,No,31575,45832,436,60,0,Semiurban,N,Yes
275,Male,No,3,Not Graduate,Yes,61433,27653,452,300,0,Urban,N,Yes
276,Male,No,3,Graduate,Yes,52775,31289,407,360,1,Urban,N,Yes
277,Other,Yes,1,Graduate,No,46436,2659,268,300,0,Rural,N,Yes
278,Other,No,3,Not Graduate,No,55624,633,514,60,1,Rural,N,Yes
279,Male,Yes,0,Not Graduate,Yes,35938,15716,470,60,1,Urban,Y,Yes
280,Male,Yes,0,Graduate,No,29358,35996,198,120,0,Rural,N,Yes
281,Other,No,0,Not Graduate,Yes,11769,25800,406,240,0,Urban,Y,Yes
282,Other,No,0,Not Graduate,Yes,20285,17632,100,60,1,Rural,N,Yes
283,Other,No,3,Not Graduate,No,25287,17366,103,180,1,Semiurban,Y,Yes
284,Female,Yes,1,Graduate,Yes,50361,35278,188,60,1,Urban,Y,Yes
285,Male,Yes,2,Not Graduate,No,48805,20234,162,300,0,Urban,N,Yes
286,Other,Yes,2,Not Graduate,Yes,34347,20377,476,60,1,Rural,Y,Yes
287,Male,Yes,2,Not Graduate,No,11986,48384,547,120,1,Urban,Y,Yes
288,Female,No,2,Not Graduate,Yes,5066,33757,341,360,1,Urban,N,Yes
289,Female,Yes,0,Not Graduate,Yes,45779,1616,395,120,0,Urban,N,Yes
290,Other,Yes,3,Graduate,No,60714,31150,560,60,0,Rural,N,Yes
291,Female,No,3,Graduate,Yes,59112,8616,490,60,0,Rural,N,Yes
292,Male,Yes,2,Not Graduate,No,62032,9622,681,360,1,Urban,Y,Yes
293,Other,Yes,2,Not Graduate,No,22705,18019,652,240,1,Semiurban,N,Yes
294,Male,No,1,Graduate,No,27104,45160,530,180,0,Semiurban,N,Yes
295,Male,Yes,1,Graduate,No,45125,39163,277,300,1,Urban,Y,Yes
296,Female,Yes,1,Not Graduate,No,61852,31364,659,120,1,Semiurban,Y,Yes
297,Female,Yes,0,Not Graduate,Yes,40326,37986,139,120,1,Urban,Y,Yes
298,Female,Yes,3,Graduate,Yes,48536,16561,585,300,0,Rural,N,Yes
299,Female,No,0,Not Graduate,Yes,57070,13576,445,60,0,Semiurban,Y,Yes
300,Female,Yes,0,Not Graduate,Yes,28099,5251,124,360,1,Semiurban,Y,Yes
301,Other,No,3,Graduate,Yes,36006,29520,385,180,0,Urban,N,Yes
302,Male,Yes,1,Graduate,Yes,27810,28352,213,240,0,Urban,N,Yes
303,Male,No,3,Graduate,Yes,10388,33487,568,300,0,Rural,N,Yes
304,Male,No,2,Graduate,No,62247,35896,614,180,0,Semiurban,N,Yes
305,Male,No,1,Not Graduate,No,43850,23419,205,120,1,Semiurban,Y,Yes
306,Female,Yes,3,Not Graduate,No,28511,29080,552,180,1,Semiurban,Y,Yes
308,Other,Yes,3,Not Graduate,No,42224,14597,540,240,1,Urban,Y,Yes
309,Other,No,1,Graduate,Yes,28394,35557,656,180,0,Rural,N,Yes
310,Male,Yes,2,Graduate,Yes,56269,25229,377,60,1,Semiurban,Y,Yes
311,Male,Yes,0,Not Graduate,Yes,62459,22645,50,120,0,Rural,N,Yes
312,Other,Yes,2,Not Graduate,No,70975,44516,409,240,1,Urban,Y,Yes
313,Other,Yes,2,Not Graduate,No,13019,15306,676,240,0,Urban,N,Yes
314,Female,No,0,Graduate,No,25470,27968,386,240,1,Urban,Y,Yes
316,Female,Yes,3,Graduate,Yes,51003,25065,236,360,1,Rural,Y,Yes
