Loan_ID,Applicant_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Has_CreditCard,LoanAmount,Loan_Amount_Term,Owns_Car,Owns_House,Property_Area,Loan_Status
LN0001,Customer_0101,Other,Yes,2,Graduate,No,59779,46697,Yes,403,300,Unknown,0,Semiurban,N
LN0002,Customer_0102,Male,No,1,Graduate,No,38662,41547,Yes,299,120,Yes,0,Semiurban,N
LN0003,Customer_0103,Other,No,0,Graduate,No,39185,17924,Yes,428,240,Unknown,1,Urban,N
LN0004,Customer_0104,Other,No,2,Graduate,No,10810,41753,Yes,194,180,Yes,0,Semiurban,N
LN0005,Customer_0105,Male,Yes,3,Not Graduate,No,54042,28492,Yes,674,120,Yes,1,Rural,Y
LN0006,Customer_0106,Male,No,1,Graduate,Yes,37883,46315,Yes,538,120,Unknown,0,Rural,N
LN0007,Customer_0107,Other,No,0,Graduate,No,42349,32066,Yes,141,60,Unknown,0,Urban,N
LN0008,Customer_0108,Female,No,3,Not Graduate,No,55215,22047,Yes,230,120,Unknown,0,Urban,N
LN0009,Customer_0109,Other,No,0,Not Graduate,Yes,41419,6320,Yes,177,360,Unknown,0,Urban,N
LN0010,Customer_0110,Other,No,1,Not Graduate,Yes,70342,49270,Yes,327,360,Unknown,1,Urban,Y
LN0011,Customer_0111,Other,Yes,0,Graduate,No,67806,465730,Yes,491,180,Unknown,1,Semiurban,Y
LN0012,Customer_0112,Other,No,2,Not Graduate,No,27871,14700,Yes,308,360,Unknown,0,Semiurban,N
LN0013,Customer_0113,Male,Yes,0,Graduate,No,598460,29157,Yes,397,120,Yes,1,Rural,Y
LN0014,Customer_0114,Other,No,1,Not Graduate,No,51991,14284,Yes,624,60,Unknown,1,Semiurban,Y
LN0015,Customer_0115,Female,No,2,Graduate,Yes,50136,28993,Yes,533,300,Yes,1,Urban,Y
LN0016,Customer_0116,Male,No,0,Graduate,Yes,74029,Unknown,Yes,351,180,Yes,1,Urban,Y
LN0017,Customer_0117,Female,Yes,0,Not Graduate,Yes,35548,11489,Yes,261,180,Unknown,0,Urban,N
LN0018,Customer_0118,Female,Yes,2,Graduate,No,7650,17673,Yes,537,120,Unknown,1,Urban,N
LN0019,Customer_0119,Female,Yes,3,Graduate,Yes,60278,32991,Yes,533,240,Unknown,0,Semiurban,Y
LN0020,Customer_0120,Female,No,3,Graduate,No,47835,12859,Yes,697,360,Unknown,0,Rural,N
LN0021,Customer_0121,Male,No,2,Graduate,Yes,19225,11015,Yes,600,240,Unknown,1,Rural,Y
LN0022,Customer_0122,Male,Yes,0,Not Graduate,No,48360,43974,Yes,512,120,Unknown,0,Semiurban,Y
LN0023,Customer_0123,Female,Yes,3,Not Graduate,No,69328,38447,Yes,399,240,Yes,0,Urban,N
LN0024,Customer_0124,Female,No,2,Not Graduate,Yes,56343,19024,Yes,352,120,Unknown,0,Semiurban,N
