Name,Platform,Year,Genre,Publisher,Global_Sales
Asteroids,2600,1980,Shooter,Atari,4.31
Missile Command,2600,1980,Shooter,Atari,2.76
Kaboom!,2600,1980,Misc,Activision,1.15
Defender,2600,1980,Misc,Atari,1.05
Boxing,2600,1980,Fighting,Activision,0.77
Ice Hockey,2600,1980,Sports,Activision,0.49
Freeway,2600,1980,Action,Activision,0.34
Bridge,2600,1980,Misc,Activision,0.27
Checkers,2600,1980,Misc,Atari,0.24
Pitfall!,2600,1981,Platform,Activision,4.5
Frogger,2600,1981,Action,Parker Bros.,2.2
Demon Attack,2600,1981,Shooter,Imagic,2.13
E.T.: The Extra Terrestrial,2600,1981,Action,Atari,1.97
Ms. Pac-Man,2600,1981,Puzzle,Atari,1.65
River Raid,2600,1981,Shooter,Activision,1.6
Donkey Kong,2600,1981,Platform,Coleco,1.46
Centipede,2600,1981,Shooter,Atari,1.36
Atlantis,2600,1981,Shooter,Imagic,1.27
Megamania,2600,1981,Shooter,Activision,1.1
Cosmic Ark,2600,1981,Shooter,Imagic,1.05
Donkey Kong Junior,2600,1981,Platform,Atari,0.97
Spider-Man,2600,1981,Action,Parker Bros.,0.93
Custer's Revenge,2600,1981,Action,Mystique,0.82
Alien,2600,1981,Action,20th Century Fox Video Games,0.79
Air Raid,2600,1981,Action,Men-A-Vision,0.77
Berzerk,2600,1981,Shooter,Atari,0.73
King Kong,2600,1981,Action,Tigervision,0.69
Adventures of Tron,2600,1981,Action,Mattel Interactive,0.67
BurgerTime,2600,1981,Puzzle,Mattel Interactive,0.59
Smurf: Rescue In Gargamel's Castle,2600,1981,Action,Coleco,0.59
Raiders of the Lost Ark,2600,1981,Action,Atari,0.5
Grand Prix,2600,1981,Racing,Activision,0.48
Phoenix,2600,1981,Simulation,Atari,0.45
Jawbreaker,2600,1981,Action,Tigervision,0.45
Barnstorming,2600,1981,Action,Activision,0.43
Mouse Trap,2600,1981,Action,Coleco,0.4
Laser Blast,2600,1981,Action,Activision,0.39
Airlock,2600,1981,Action,Data Age,0.39
Dragonfire,2600,1981,Action,Imagic,0.37
Frogs And Flies,2600,1981,Action,Mattel Interactive,0.36
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games,0.34
